project_id,title,status,start_date,lead_organisation
7DE077F3-FE27-4301-8798-EFB020F5FDE1,EPSRC and SFI Centre for Doctoral Training in Sustainable Chemistry: Atoms-2-Products an Integrated Approach to Sustainable Chemistry,Active,,UNIVERSITY OF NOTTINGHAM
7E43BF49-FDC3-490A-93BB-EF2903AC4D25,Aquatic Pollution from Light and Anthropogenic Noise: management of impacts on biodiversity,Active,,UNIVERSITY OF PLYMOUTH
DFDCCFD3-6A37-4746-8DF8-F0DF96FC11E4,Sustainably securing the future of food: will Chinese investments in the Global South hinder or help?,Active,,UNIVERSITY OF BATH
E06FE69A-D5FD-4618-99F6-F00EBF14E55B,Quantitative dissection of protein synthesis initiation at 'omic and single mRNA scales,Active,,UNIVERSITY OF MANCHESTER
E17BE8FA-6513-456F-A137-F0728D20CA23,A Design Study for a Muon Collider complex at 10 TeV center of mass (MuCol),Active,,IMPERIAL COLLEGE LONDON
E211D677-4BB9-429F-9608-F06A2B9E6CFF,Social Foundations of Cryptography,Active,,UNIVERSITY OF EXETER
C78A8F40-760A-4BB7-A33D-EEF7F31B6DEF,RAL Studentship at Imperial 2024,Active,,IMPERIAL COLLEGE LONDON
C7EC9754-048F-4061-9558-F024E92AED57,Reworking Inverse Design in Homogeneous Catalysis,Active,,UNIVERSITY OF CAMBRIDGE
C8033602-E067-4918-AA53-EF37A41B6D9F,Mechanism of Action Directed Implementation of a High Activity Anti-Pancreatic Cancer Lead,Active,,UNIVERSITY OF NOTTINGHAM
C8A01FBA-23EE-4146-BC38-EF475E451633,"Validating methods to cryopreserve, store and revive human precision cut tissue slices for disease modelling and drug testing.",Active,,NEWCASTLE UNIVERSITY
C8D2C2B9-AA2E-4D9B-8BD4-F057C524FD5F,"EPSRC Centre for Doctoral Training in &quot;Diversity led, mission-driven research&quot;",Active,,UNIVERSITY OF GLASGOW
E866F7ED-249E-4387-AFC5-EF804F9B1592,XLZD Pre-Construction,Active,,UNIVERSITY COLLEGE LONDON
E919E440-ABA7-46D4-A9D6-F0154F5C0ADA,ICF - Understanding Acute Myeloid Leukaemia stem cell growth: Prediction and prevention of relapse,Active,,UNIVERSITY OF NOTTINGHAM
E95093FB-F484-412C-AB53-F08FBC5B818F,Dimensionality tuning of strongly correlated van-der-Waals materials: a route to multifunctional quantum devices,Active,,UNIVERSITY OF BIRMINGHAM
E98AF3F0-1759-41EE-BB88-F0A4E90F2BA6,Industrial CASE Account - University of Bristol 2024,Active,,UNIVERSITY OF BRISTOL
EAE3E87C-F96F-4A22-860C-F0A13F690C2D,Quantifying phonetic input in first and second language speech learning,Active,,UNIVERSITY COLLEGE LONDON
EB524138-DA0F-44A6-B4A5-EFFD56615937,Development of innovative food products using plant proteins and precision fermentation with in-silico optimisation,Active,,NEW WAVE BIOTECH LTD
660F0BC2-E3AA-44B7-8202-F0539A494CA4,To the Gallery: Analysis of Participatory and Learning methodologies in an art organisation.,Active,,MANCHESTER METROPOLITAN UNIVERSITY
6744E9F3-4473-46D5-BB28-F0995276E2AF,ATLAS - Advanced Tabs utilising Laser Surface treatment,Active,,AVOCET BATTERY MATERIALS LIMITED
677006C5-A0BF-4CAB-8E3C-EF37839C57C0,Decoding senescent cell signalling pathways in tissue fibrosis,Active,,UNIVERSITY OF EDINBURGH
685CB6CD-1CE1-478D-9375-F0661E45D95A,Embedded Cluster Modelling for Realistic Solid-State Systems,Active,,CARDIFF UNIVERSITY
691E5F74-0973-4B16-B9DF-F0665BD3A95D,Duration and type of urinary tract infection antibiotic treatment and impacts on the gut microbiome and resistome (DUTI- GUM),Active,,Unknown
D1FA8B27-AE02-445D-8645-EEFEB0258BEA,Machine learning for improved clinical decision making ahead of epilepsy surgery,Active,,KING'S COLLEGE LONDON
50F311B9-D01F-4A8C-B21D-EFDA28E13DD9,Measurements of neutrino-induced Hyperon production in the SBND,Active,,LANCASTER UNIVERSITY
51104766-AFE8-468F-A714-F0382074B0C2,Target Biomarker selection using systems networks and decision theory,Active,,QUEEN MARY UNIVERSITY OF LONDON
52AF27D2-AB15-40D3-8D62-F099737DC3E7,REFINE: Real-time Fine-grained Air Quality Monitoring with Intelligent and Robust Multi-UAV Networks,Active,,UNIVERSITY OF EXETER
B2537659-A07C-4C73-96B3-F09C7419C6B6,"FAST CAR-T: Faster, Adaptive and Scalable Technologies For CAR-T Manufacture",Active,,UNIVERSITY COLLEGE LONDON
B2CFA13B-E619-4422-9572-F00F2BB5515E,Sensing the Intangible City: Decoding Historically Centralised Narratives,Active,,UNIVERSITY OF SUSSEX
B2F2643F-7CF2-4550-B4B0-EEEFDFDCF19E,"Paper Empire: Literature, the Travelers Cheque, and the Redescription of American Imperialism, 1891-1958",Active,,UNIVERSITY OF MANCHESTER
B400601C-12E4-479A-92D1-F0AF31AC5BC0,Multi-Route DataFactory for Direct Compressed Products,Active,,UNIVERSITY OF STRATHCLYDE
B403217F-482A-49BF-BD67-F07EA12E26BB,The University of Keele and Raft Solutions Limited KTP 22_23 R4,Active,,UNIVERSITY OF KEELE
D61B1766-EEC8-40FA-BD98-EFEF8E59560D,Variable Pitch Configurations for Future Propulsion,Active,,UNIVERSITY OF CAMBRIDGE
D755BEFA-BE2E-4F89-B2E2-F0C16A0D6173,THRIVING food futures (Transdisciplinary Health Research to Identify Viable Interventions for Netzero Goals: food futures),Active,,Unknown
5A95BA30-7B19-4DB6-BC9B-F08188E8F362,The uncharted journeys of inflammatory cells and their functional implications,Active,,UNIVERSITY OF CAMBRIDGE
BBA8A744-35A7-4554-9E41-EF3B0AFBCD6E,SNAP - Sustainable Nitrogen Application Project,Active,,OUTFIELD TECHNOLOGIES LTD
BC4C8210-B5EF-49B3-AFC5-EFA790D2670B,Setting the Standard for Genomics and Health-Related Data Sharing: The Global Alliance for Genomics and Health,Active,,EUROPEAN BIOINFORMATICS INSTITUTE
BCF67E97-50EE-4C8A-BCFC-EFE152B648C7,An Analysis of System-Focused Judicial Review in England and Wales,Active,,Unknown
BD622C77-8C51-4A78-BFB0-EF7A197E4DC7,Novel approach for sampling and integrated sample preparation for avian influenza identification,Active,,UNIVERSITY OF HERTFORDSHIRE
9D62CE1F-CE55-4092-AC06-EFF9E84C54E9,Exploring the embodied experience of childhood traumaand its role in survivors' relationships with themselves andothers: a survivor-led qualitative st,Active,,KING'S COLLEGE LONDON
9E5C9200-8F1E-4A5F-B37B-EFA5AFB9E1B1,Integrated wind-wave control of semi-submersible floating offshore wind turbine platforms (FOWT-Control),Active,,UNIVERSITY OF MANCHESTER
BE4D0588-7DC6-4774-9637-EF2EE6550AE7,"Transformation, Conflict and the Everyday - Wapping 1968 to 1997",Active,,UNIVERSITY OF GLASGOW
BF67EA60-5961-413A-9EA3-F0A421DCB3F4,New measurement of the weak mixing angle,Active,,QUEEN MARY UNIVERSITY OF LONDON
C043A573-DF5E-46AD-9943-EFBB434174C0,The King in the Round: can numismatics be used to identify a unified form of Hellenistic kingship?,Active,,UNIVERSITY OF EXETER
C131D90C-61DA-4C6B-8C6F-EF3EAF28979C,You're pretty for a darkskin&quot;: The Issue of Colourism Through the Intersectional Lens of Dark-skinned Black Women Living in England.,Active,,DURHAM UNIVERSITY
44EB8CB3-C6BD-428A-8349-F0343005103A,Programme on Innovation and Diffusion (POID),Active,,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
451A98EA-BBBB-4B23-BB31-EF4163D94F8A,The biomechanics and energetics of locomotion in sea turtles: understanding the influence of load carrying on performance,Active,,UNIVERSITY OF MANCHESTER
47289B22-EA52-483F-89D6-EFDB36CC746C,"Reanimating Tibetan Heritage: Transforming collections, Empowering communities",Active,,VICTORIA AND ALBERT MUSEUM
484042AE-6CEC-4AF7-9751-EF13A23A683F,Closed loop therapies for genetic epilepsies.,Active,,UNIVERSITY COLLEGE LONDON
48A77F11-D55F-478B-83E0-F0A31B05798E,MIMIC: An interconnected multiorgan platform to recreate the complex pathophysiology of the Metabolic Dysfunction-Associated Steatotic Liver Disease,Active,,UNIVERSITY OF NOTTINGHAM
A761EF3E-D1C0-4199-A664-F0CC4F863A48,University of Central Lancashire and Heyside Plastics Limited KTP 24_25 R3,Active,,UNIVERSITY OF CENTRAL LANCASHIRE
A79EBCC3-0C8F-40B0-A3AC-EF45114498BB,Unhousing Restitution (UNREST). African audiovisual heritage between displacement and return,Active,,KING'S COLLEGE LONDON
A7AB1C35-4EEB-43E5-AEEE-F0729EA6461E,Exploring quantum information with Higgs Bosons and Top Quarks,Active,,UNIVERSITY OF GLASGOW
A85653A1-FB69-41CE-9B3B-F08243624884,Atmospheric chemistry of reactive trace species through direct real-time measurements,Active,,UNIVERSITY OF LEEDS
A90C3C68-5A82-4A38-887C-F0B5BB44CB29,Integrable models and deformations of vertex algebras via symmetric functions,Active,,CARDIFF UNIVERSITY
C939E9A8-2083-4D4F-9C41-F0A4562DA03F,Bcc-superalloys: Engineering Resilience to Extreme Environments,Active,,UNIVERSITY OF BIRMINGHAM
CA77D38E-68E7-4D61-92C3-F046AE43B8DB,Delivering Sustainable Wheat: Targeted Sustainability-Trait Discovery (John Innes Centre),Active,,JOHN INNES CENTRE
CAE07A74-77E8-46D0-BF0A-EFF79F76B49B,Analogue gravity with optical pulses in fibres,Active,,UNIVERSITY OF ST ANDREWS
CBBC4078-FC0A-4619-AAC5-F0268C134B71,Anti-doping education in the wake of the International Standard for Education: A case study of British karate,Active,,UNIVERSITY OF BIRMINGHAM
2F9E37F5-19DC-451F-99BA-F03439C9DAC9,"Design, modelling and characterization of satellite TX components in III-V integrated circuits",Active,,CARDIFF UNIVERSITY
AB458FF8-8E11-4630-87BB-EF003BB0D1E4,Essays in Political Inequality,Active,,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
ACB9764E-1E13-4F68-9D28-F08A8E3A84D5,STFC Armagh 2023 DTP,Active,,ARMAGH OBSERVATORY
AD57EC7C-1819-456E-9EE4-F0018EA84D16,": Nutritional programming in replacement dairy heifers: Future-proofing herd performance, health and behaviour",Active,,QUEEN'S UNIVERSITY BELFAST
AD7FC94D-A2C5-491E-94E8-F0B566EAB360,H2GLASS : advancing Hydrogen (H2) technologies and smart production systems TO decarbonise the GLass and Aluminium SectorS,Active,,PILKINGTON TECHNOLOGY MANAGEMENT LIMITED
ADCF9E46-E80B-4387-93C0-EF4E836B364D,Revealing the hidden early lives of super-massive black holes,Active,,UNIVERSITY OF EDINBURGH
92E31C29-EB6B-46AD-A2BF-EFDFC6DF00D8,Health Data Science CDT,Active,,Unknown
93046000-E615-48FC-AECD-EF2992BAAFC8,C-band quantum-dot lasers on monolithically grown Si platform,Active,,UNIVERSITY COLLEGE LONDON
949D96B8-7BD9-424E-996D-F019DFE018AA,Exploring understudied aspects of antimicrobial resistance evolution to improve environmental pollution policy,Active,,UNIVERSITY OF EXETER
3C5B0158-F589-4D9F-BD23-EF28A33015EE,Barriers to recognition of mental health problems and access to support in neurodivergent young people,Active,,QUEEN MARY UNIVERSITY OF LONDON
3CAEB32D-6786-480E-9E75-EF030BD7C15A,Quantifying the role of deep-sea animal forests in the blue carbon,Active,,UNIVERSITY OF PLYMOUTH
3E46D0AA-16B6-4CE8-B155-F0726C8015DA,AWAKE UK phase II,Active,,UNIVERSITY OF LIVERPOOL
B438013E-39DF-48B0-AE7E-EF1F293E5BF5,Bioactive fragments of the extracellular matrix orchestrate lung epithelial cell repair.,Active,,IMPERIAL COLLEGE LONDON
B4E8AFFD-92F6-4066-930E-F0A391DE06E2,METAHEAD - Pioneering Multi-Site 7T Metabolic Imaging of the Human Brain,Active,,UNIVERSITY COLLEGE LONDON
B5158698-F7DE-4744-A996-F0A951F8BB55,Characterisation of virtual memory T cells,Active,,Unknown
95C1766A-E8D3-4F7B-B0F0-EF406E8CA460,Centre for Corpus Approaches to Social Science,Active,,LANCASTER UNIVERSITY
980F15EC-33BC-4E8D-A7A7-EFA48E222176,Cross talk between DNA replication and LPS biosynthesis during cell growth,Active,,UNIVERSITY OF BIRMINGHAM
7ED21A78-AD9E-4D02-9642-EFE5ED6FBE50,Teesside University and Saturn Turbo Services Limited KTP 24_25 R3,Active,,TEESSIDE UNIVERSITY
7F0D9BAF-87F4-47A2-9B8C-F0510C128C29,STFC Southampton Physics 2023 DTP,Active,,UNIVERSITY OF SOUTHAMPTON
7F2DE172-0EBB-4C29-BAB5-F0827E1B28CF,Using Synthetic Ecology and Biochar to Enhance Oil Bioremediation,Active,,UNIVERSITY OF EDINBURGH
7FAE3129-8134-4A6E-B699-EFA5E8A1E0E8,TRIDENT,Active,,NATIONAL OCEANOGRAPHY CENTRE
80390FB9-A729-42FD-97C9-EFA66A93D5B2,Theoretical Physics - Optical topological solitons,Active,,UNIVERSITY OF BIRMINGHAM
2634D264-70B2-404F-BFBB-F047B9B28314,Development and validation of spiking architectures for enhanced event-based computing,Active,,HERIOT-WATT UNIVERSITY
268E924F-019C-4B39-B377-F01E1DF4883F,SiQEC - Silicon Quantum Error Correction,Active,,QUANTUM MOTION TECHNOLOGIES LIMITED
2776818E-17B1-45D1-B59C-F0A14115842D,A Hybrid Learning-Based Digital Twin Framework for Real-Time Prediction and Prevention of Part Non-Conformance in Sustainable Manufacturing,Active,,UNIVERSITY OF SHEFFIELD
A05EEBDD-1BD7-4445-961F-EF808E245064,Fast Freezing for Metastable Materials (F2M2),Active,,UNIVERSITY OF EDINBURGH
A2EA7C1B-A10D-4833-AC9D-F033C9D4BEE2,Manchester Metropolitan University and SmOp CT Limited KTP 22_23 R4,Active,,MANCHESTER METROPOLITAN UNIVERSITY
A3EBA2AE-5B34-45E0-B52E-EFE3EAE0E8CF,"Transforming child mental health: co-designing, building and evaluating a digitally enabled, personalised, prevention pathway",Active,,UNIVERSITY OF CAMBRIDGE
8763337F-798D-4F28-95BD-EF953E734AEA,Reliable and Robust Quantum Computing,Active,,UNIVERSITY OF BRISTOL
87845C0C-3086-4F9E-9FA0-F0BF4D59CABF,Biodegradable Micro and Nanoplastics as Emerging Environmental Pollutants,Active,,QUEEN'S UNIVERSITY BELFAST
88FAC6F8-84F7-4DF7-BECC-F0269002BCD1,Understanding suppression of transcytosis in formation of the blood-brain barrier (BBB) and how Calcrl/Ramp2 signalling limits BBB permeability,Active,,UNIVERSITY OF NOTTINGHAM
89B6ADD7-9DB2-4BE6-8B84-F098B454E961,&quot;Can you use it in a sentence?&quot;: Establishing how word-production difficulties shape text formation,Active,,NOTTINGHAM TRENT UNIVERSITY
A979DDFB-5016-4F31-B80A-EBA94F2F66F4,WET HORIZONS - upgrading knowledge and solutions to fast-track wetland restoration across Europe,Active,,THE JAMES HUTTON INSTITUTE
AB23AE60-BB5E-4472-821D-EC4C7D810FD6,Phage-problem organism dynamics in biological wastewater treatment,Active,,NEWCASTLE UNIVERSITY
ABCF69A2-9562-46BE-A86E-ECA53AECF7F5,STFC Heriot Watt EaPS 2023 DTP,Active,,HERIOT-WATT UNIVERSITY
0C9695AD-1AC8-40DA-A43C-ECEB21AFD2EF,Implementation of new 3D printed &amp; advanced materials sensors for the bio analysis of dysphagia patients,Active,,UNIVERSITY OF MANCHESTER
0DA53AFD-DD07-4504-904C-ECE0494256FF,Virus cross-species transmission. Defining the immunological barriers to viral emergence,Active,,UNIVERSITY OF GLASGOW
0E11663D-1F71-488D-AA05-EDBE7254762E,Joining tungsten for nuclear fusion applications,Active,,UNIVERSITY OF MANCHESTER
E952A9C9-CF13-45C1-9EE4-EC71E602054B,"Topological Matter 2.0: Interacting, Nonlinear, and Dynamical",Active,,IMPERIAL COLLEGE LONDON
E955F102-1DE8-4569-A3F3-EBCAC7EA91AB,Mechanistic investigations of transcriptional regulation by bZIP transcription factors,Active,,Unknown
E98AF18F-D48A-4241-AF2A-ECA362BD8FB1,Harnessing Large Foundation Models for Gene Regulatory Network Analysis in Plant Cells,Active,,UNIVERSITY OF DUNDEE
156D96AC-3BB1-4020-9E72-EDBD5528C944,Does antimicrobial resistance in river water pose a risk to human health?,Active,,UNIVERSITY OF EXETER
F39D4B60-16DD-41A0-97D8-EBA7E6541CA6,On-Sensor Computer Vision,Active,,UNIVERSITY OF BRISTOL
F7EEAD59-88BC-452D-A7A5-EC09D30CEB6F,Predicting future cultural and natural heritage scenarios on common land.,Active,,UNIVERSITY OF EXETER
F850D3A4-0EDD-4223-AE1C-EB6E12CF310B,The Physics of Machine Learning on Oscillator Ising Machines,Active,,UNIVERSITY OF CAMBRIDGE
98B23724-9865-4AF1-9575-EB67FDD79055,INVENTYA LIMITED,Active,,INVENTYA LIMITED
D679D6A1-6D50-40C8-BD69-EAD2CD9E3136,QLNC Benchmarking and Validation: Towards Scalable Quantum Hardware,Active,,ENTANGLED QUANTUM LTD
D6812F75-1A2C-41E0-9944-EB0E8AE7CF5D,A numerical approach to simulations of hypersonic intake,Active,,LOUGHBOROUGH UNIVERSITY
D74C1B28-075D-4EEE-B9FA-EBFD7660B2D3,"SurgeonQ: Lattice-surgery platform for real-time, scalable error correction on superconducting qubits",Active,,RIVERLANE LTD
003559CD-8E34-458C-82DC-EE1CDF53DAA5,Recycling Locally Produced Bio-Wastes to Ensure Affordability and Availability of Innovative Bio-Based Fertilisers,Active,,INEUVO LIMITED
0168A7A9-3B96-4E0B-BDE4-EDEC9B56A9EF,ICF: Indoor HABItability during the Transition to Net Zero Housing Hub: INHABIT,Active,,UNIVERSITY OF BIRMINGHAM
017D2A2F-A57B-4E40-B450-ED20298F3095,The University of Huddersfield and Trust Electric Heating Limited KTP 24_25 R2,Active,,THE UNIVERSITY OF HUDDERSFIELD
01DDF580-8439-4D45-AD11-EE056BE6C0F7,Can the integration of Spatio-temporal continuity lead to more reliable and bio-plausible Capsule-based Networks when trained in an unsupervised way?,Active,,UNIVERSITY OF SHEFFIELD
023402BA-7DEF-488F-AC31-ED30BCBC8957,Synthesis and reactivity of heterobimetallic complexes of main group and f-block metals towards CO2 activation,Active,,KING'S COLLEGE LONDON
A102497C-7A76-488E-9E4C-EB919FD9C754,Food and Microbiome and Health (Earlham Institute),Active,,EARLHAM INSTITUTE
A17964F2-2ABB-4A83-B0DF-EAD3DE62765A,Lifestyles and geodemographic behaviours in inter-generational context,Active,,UNIVERSITY COLLEGE LONDON
A1AA931B-89F2-4F8C-9C16-EC807B8EA315,Somebody's watching me? Examining the effects of surveillance on deceptive behaviour inside the lab and beyond,Active,,UNIVERSITY OF NOTTINGHAM
A239875C-1B43-4B6C-8CD9-EBDE6697DC37,Advanced diagnostics for AWAKE Run 2 Electron Beams,Active,,UNIVERSITY OF MANCHESTER
A3769BF4-497E-4DD4-B9A1-EB2B48702459,Pro2 Network+: From Prototyping to Production of Digital Devices,Active,,UNIVERSITY OF BRISTOL
DF61F3E8-C2AD-4EC6-80EA-EB477A783295,Precision tests on the quantum nature of gravity,Active,,UNIVERSITY COLLEGE LONDON
8371597E-1EAC-46EC-99A8-EC8971E5E073,Decoding Educational Inequality: Exploring Individualized Explanations and Boosting Appeal for Structural Solutions,Active,,UNIVERSITY OF SUSSEX
ED33F406-9D7E-440E-8BD0-EBC6B62AC329,Being Blue: An Examination of the Lived Experience of Minority Ethnic Police Officers,Active,,UNIVERSITY OF LEICESTER
ED75E0E5-98EB-4BCD-A36F-EBB71C632574,Evaluation of novel therapeutic strategies to enhance islet cell viability for Islet Cell Transplantation,Active,,UNIVERSITY OF EDINBURGH
C2F1DF75-DDC2-4344-A8D5-EACDE9013E86,High Throughput Modelling of Molecular Crystals Out of Equilibrium (ht-MATTER),Active,,UNIVERSITY COLLEGE LONDON
C3074ABC-A6CA-4E9D-A8D3-EB239148E430,BACTERIA-ON-A-CHIP: Microfluidic chemostats to decipher the responsiveness of bacterial communities,Active,,IMPERIAL COLLEGE LONDON
C3E98458-2A8B-4551-8C6D-EC38CB050469,AN Underground Belayed In-Shaft experiment to search for long-lived particles using LHC service shafts at CERN,Active,,UNIVERSITY OF CAMBRIDGE
C4A97EC2-AB56-44A3-ACE4-EB8D0494BE49,Understanding seasonal change in vector-borne disease risk for livestock and humans within arid habitats of Northern Kenya,Active,,UNIVERSITY COLLEGE LONDON
C4D70D06-8162-48F3-8F8D-ECA3EFF2E2FA,SPARK: Studying Parliaments and the Role of Knowledge,Active,,UNIVERSITY OF EDINBURGH
8EA3875B-4D48-47B6-81F2-EB86C98B98D9,Conflict and Tourism: Exploring Political Tours and National Identity in Palestine and Ukraine,Active,,UNIVERSITY OF CAMBRIDGE
CACFC55D-2C5D-4373-9F82-EBA595A40CED,Effects of electromagnetism associated with offshore windfarms on North Sea fish,Active,,UNIVERSITY OF SOUTHAMPTON
CB0EBC28-6E4E-4CDC-851E-EC3709AB89DE,Research in High Energy Physics,Active,,IMPERIAL COLLEGE LONDON
CB7F374D-32D5-419E-AC51-EC061E34FA01,MyoTreat: Myopia - from genes and environment to cellular responses and treatment,Active,,CARDIFF UNIVERSITY
D97E0391-213F-4822-8592-EB0DC65BE991,Health monitoring of fistulas for dialysis patients using ultrasound scans 1=Biomaterials and tissue engineering 2=Healthcare technologies,Active,,UNIVERSITY OF WARWICK
DAEB3A80-AD14-4F7A-B3D0-EBB772B83509,Understanding the increasing prevalence of Shigella sonnei,Active,,IMPERIAL COLLEGE LONDON
AC7C5AF8-9D22-4ADD-9D45-EAD1A55B7918,Australia Partnering Award: International pooling for advanced cereal science - IPAC,Active,,UNIVERSITY OF DUNDEE
AD291301-23B0-46E6-BC93-EC72AEAE35D3,Modelling of flow and heat transfer in gas turbine engine compressor cavities.,Active,,UNIVERSITY OF BATH
AD3A2B70-5132-4A78-9D61-EC24434090CC,"Reading Romanticism in the Margins: An Analysis of Marginalia and Borrowing Records in Scottish Universities, 1788-1833",Active,,UNIVERSITY OF GLASGOW
AE01A50F-F4EB-4090-BCCD-EB3D91A6CAC1,Socio-technical Evaluations of Harms in Multimodal Human-Agent Interactions,Active,,Unknown
76F29208-72E1-4C7B-B006-EC20E8B69372,STFC Glasgow PaA 2023 DTP,Active,,UNIVERSITY OF GLASGOW
784A40A4-8705-42B2-B56A-EB091948B6A2,Investigating And Targeting Microglial Senescence In Alzheimer's Disease,Active,,UNIVERSITY OF SOUTHAMPTON
78E280F9-2591-4801-A6D8-EC3DC9678360,Mediating molecular mechanisms between Air pollution and Cognitive decline in midlife in the AirWave occupational cohort (MACAW),Active,,IMPERIAL COLLEGE LONDON
E4EF5381-BB94-488D-899B-EADD47A46034,Interactions between biodiversity conservation and poverty alleviation,Active,,UNIVERSITY OF SOUTHAMPTON
E5C787B2-B080-40E8-8E9A-EB411EBE1A9B,Design and development of electric hire boats,Active,,TAKE A TURN YACHTING LIMITED
E6012981-8A2D-4486-8D1C-EB3F2B29A527,New Opportunities in Enantioselective Catalysis Using Lewis Acidic Boranes,Active,,CARDIFF UNIVERSITY
E627A8F6-ACF3-4B22-B720-EABB7CE83C4C,"emPOWER: in-body artificial muscles for physical augmentation, function restoration, patient empowerment and future healthcare",Active,,UNIVERSITY OF BRISTOL
B79BB316-6121-438A-9D9A-EB57EF955803,Effects of secondary structure on the expression and stability of RNA Therapeutics,Active,,UNIVERSITY OF KENT
B875A0F0-9188-4EA2-8E9C-EB5106FC5C1C,Utilising cellular antioxidant adaptations to develop colorectal cancer theranostics,Active,,UNIVERSITY OF YORK
BA3CD82C-F955-4234-BC93-EAD7CA4EB302,"The singing machine: science, music and speech in the long 19th century",Active,,UNIVERSITY COLLEGE LONDON
81EB6A3C-95B3-4930-89FA-EB9DEEAC14C4,The stability of multi-agent systems consisting of Autonomous Large AI Models (AutoLAMAs),Active,,UNIVERSITY OF WARWICK
81F7E2AF-3193-405E-976C-EAC5D399CCCB,"Identifying, characterising and engineering plant cell wall degrading enzymes for biofuel production",Active,,UNIVERSITY OF ST ANDREWS
836FCE84-6DE5-4FAC-A24B-EB3080452DC8,"An integrated model of adolescent alcohol consumption: Examining affect, motivation, and cognition",Active,,ASTON UNIVERSITY
9B267780-597B-4E79-B1A4-EC8FE55E98BB,Innate-immune drivers of cell fate during genotoxic stress,Active,,INSTITUTE OF CANCER RESEARCH
5DABE133-224E-4B84-9919-EBB7B3139430,Lighting up zooplankton - mapping marine light using robotics,Active,,UNIVERSITY OF THE HIGHLANDS AND ISLANDS
5EED3147-3B98-4C50-ADFC-EAAD9AE81E29,How are astrocytes made? Transcriptional regulation of astrocyte specification across development and adulthood.,Active,,CARDIFF UNIVERSITY
60CC1114-FFEC-41D9-A683-EBB262AA2C58,Antivirus Pandemic Preparedness EuropeAn pLatform (Appeal),Active,,IMPERIAL COLLEGE LONDON
CC876731-C2E3-439D-90D2-EC81258577AE,Manufacturing of COMmutable calibrators and quality control materials for standardisation and post-markET surveillance of IVD tests,Active,,THE SECRETARY OF STATE FOR HEALTH AND SOCIAL CARE ACTING THROUGH THE MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA)
CCC493BA-C844-4310-81F6-EBF423F2FE6A,Urban Life in a Time of Crisis: Enduring Urban Lifeways in Later Medieval England (ENDURE),Active,,UNIVERSITY OF LEICESTER
CE316A61-58CE-436F-9ADE-EC82170F3447,Environmental Health and Infectious Disease: How Chemical Cocktails Help Drive Emerging Zoonoses in Mammals,Active,,QUEEN'S UNIVERSITY BELFAST
CE4C47EA-A9E2-4960-9568-EC31043B86E0,"Representations and subjective experiences of working-class women's unpaid labour, feminist resistance, and post-work imaginaries",Active,,BRUNEL UNIVERSITY LONDON
A3F69EC9-7BE9-4944-B990-EC2DC94A42C8,Arctic peatland response to climate change: carbon bomb or self-repair?,Active,,QUEEN'S UNIVERSITY BELFAST
A4401E32-3299-4802-BA23-EC286E0300DE,What are the implications of health inequalities such as parental education and household income in BAME 11-16 year old's mental health in Wales,Active,,SWANSEA UNIVERSITY
A556A729-C533-4EA7-8E03-EB19A57FC914,FLASH,Active,,ATS APPLIED TECH SYSTEMS LTD.
A5C9D5A0-D0B5-4CE3-BF91-EAFA637B0846,Human-Computer Counter-Choreographies: new embodied methods and tools for development of web-based user-interfaces to improve well-being and equitable,Active,,UNIVERSITY OF THE ARTS LONDON
6A0C4468-127A-4CE7-AA3D-EB396BF5D38A,Improving the design of vector control trials,Active,,UNIVERSITY OF GLASGOW
6A5372A3-C3E2-420A-97ED-EBC8CC9F81F9,Identification and targeting of early T cell dysfunction in pulmonary preinvasive neoplasia,Active,,UNIVERSITY COLLEGE LONDON
D93B70BA-C073-41B6-B04B-EC7EF06AD01D,EBRAINS 2.0: A Research Infrastructure to Advance Neuroscience and Brain Health,Active,,UNIVERSITY COLLEGE LONDON
D9445C93-BA4C-4115-82BD-EB8C25B988DC,"Amplifying the mental health of Black university students: A Black, Mad and Disability Studies Intersectional Inquiry",Active,,DURHAM UNIVERSITY
49897020-F947-48CF-A9EF-EC076105FEB0,Sequence-Defined Pi-Conjugated Materials for Organic Electronics,Active,,QUEEN MARY UNIVERSITY OF LONDON
4BA6C52E-5ABA-43A7-B07D-EADAFFEBC7F1,Understanding the impact of pleasant odours on the emotional processing networks in the brain,Active,,UNIVERSITY OF LIVERPOOL
BA656AF8-3659-4061-BF98-ECAB233CC232,Quantifying the synergies and tradeoffs of nature based solutions between flood management and biodiversity restoration,Active,,HERIOT-WATT UNIVERSITY
BC163207-6266-4A35-BF5F-EC888408659B,Welsh Election Study 2021,Active,,CARDIFF UNIVERSITY
BD03C8A9-A528-4148-A7A7-EAE05F65F0A7,Future enabLing technologies for hYdrogen-powered Electrified aero engine for Clean aviatiOn,Active,,CRANFIELD UNIVERSITY
BE1F6B0E-46E1-494C-A88A-EBC6EFCC6500,Developing melamine-free polyurethane foams,Active,,ALFRECELL LIMITED
9015781C-46F2-4104-8A2D-EB5E020FCCE4,Making cells into factories: Designing new metalloenzyme radical catalysts for in vivo synthesis monitored by whole cell EPR spectroscopy,Active,,UNIVERSITY OF MANCHESTER
